date,state,cases,cases_perc,cases_daybefore,cases_ln,cases_daybefore_ln,log_dif
2020-03-10,Texas,31,29.166666666666668,24,3.4339872044851463,3.1780538303479458,0.2559333741372005
2020-03-11,Texas,33,6.451612903225806,31,3.4965075614664802,3.4339872044851463,0.06252035698133396
2020-03-12,Texas,41,24.242424242424242,33,3.713572066704308,3.4965075614664802,0.21706450523782772
2020-03-13,Texas,58,41.46341463414634,41,4.060443010546419,3.713572066704308,0.34687094384211115
2020-03-14,Texas,69,18.96551724137931,58,4.23410650459726,4.060443010546419,0.17366349405084058
2020-03-15,Texas,80,15.942028985507244,69,4.382026634673881,4.23410650459726,0.14792013007662153
2020-03-16,Texas,87,8.75,80,4.465908118654584,4.382026634673881,0.0838814839807025
2020-03-17,Texas,106,21.839080459770116,87,4.663439094112067,4.465908118654584,0.19753097545748322
2020-03-18,Texas,166,56.60377358490566,106,5.111987788356544,4.663439094112067,0.44854869424447674
2020-03-19,Texas,248,49.39759036144578,166,5.5134287461649825,5.111987788356544,0.4014409578084388
2020-03-20,Texas,386,55.64516129032258,248,5.955837369464831,5.5134287461649825,0.44240862329984854
2020-03-21,Texas,547,41.70984455958549,386,6.304448802421981,5.955837369464831,0.34861143295715014
2020-03-22,Texas,639,16.819012797074954,547,6.459904454377535,6.304448802421981,0.15545565195555344
2020-03-23,Texas,728,13.928012519561817,639,6.590301048196686,6.459904454377535,0.13039659381915136
2020-03-24,Texas,857,17.71978021978022,728,6.75343791859778,6.590301048196686,0.16313687040109404
2020-03-25,Texas,1132,32.08868144690782,857,7.0317412587631285,6.75343791859778,0.2783033401653485
2020-03-26,Texas,1542,36.21908127208481,1132,7.340835554123275,7.0317412587631285,0.3090942953601461
2020-03-27,Texas,1971,27.82101167315175,1542,7.58629630715272,7.340835554123275,0.24546075302944548
2020-03-28,Texas,2381,20.801623541349567,1971,7.7752758464868625,7.58629630715272,0.18897953933414247
2020-03-29,Texas,2722,14.321713565728686,2381,7.909122183211411,7.7752758464868625,0.13384633672454882
2020-03-30,Texas,3065,12.60102865540044,2722,8.027802848370312,7.909122183211411,0.11868066515890074
2020-03-16,Utah,40,37.93103448275862,29,3.6888794541139363,3.367295829986474,0.3215836241274621
2020-03-17,Utah,51,27.500000000000004,40,3.9318256327243257,3.6888794541139363,0.24294617861038947
2020-03-18,Utah,65,27.450980392156865,51,4.174387269895637,3.9318256327243257,0.24256163717131107
2020-03-19,Utah,80,23.076923076923077,65,4.382026634673881,4.174387269895637,0.2076393647782444
2020-03-20,Utah,112,40,80,4.718498871295094,4.382026634673881,0.33647223662121295
2020-03-21,Utah,138,23.214285714285715,112,4.927253685157205,4.718498871295094,0.20875481386211092
2020-03-22,Utah,182,31.88405797101449,138,5.204006687076795,4.927253685157205,0.27675300191959007
2020-03-23,Utah,257,41.208791208791204,182,5.54907608489522,5.204006687076795,0.34506939781842494
2020-03-24,Utah,299,16.342412451361866,257,5.700443573390687,5.54907608489522,0.15136748849546677
2020-03-25,Utah,346,15.719063545150503,299,5.846438775057725,5.700443573390687,0.14599520166703783
2020-03-26,Utah,402,16.184971098265898,346,5.996452088619021,5.846438775057725,0.15001331356129644
2020-03-27,Utah,480,19.402985074626866,402,6.173786103901937,5.996452088619021,0.17733401528291548
2020-03-28,Utah,608,26.666666666666668,480,6.410174881966167,6.173786103901937,0.23638877806423064
2020-03-29,Utah,719,18.25657894736842,608,6.577861357721047,6.410174881966167,0.16768647575487972
2020-03-30,Utah,806,12.100139082058414,719,6.692083742506628,6.577861357721047,0.114222384785581
2020-03-21,Vermont,49,68.96551724137932,29,3.8918202981106265,3.367295829986474,0.5245244681241523
2020-03-22,Vermont,52,6.122448979591836,49,3.9512437185814275,3.8918202981106265,0.05942342047080107
2020-03-23,Vermont,75,44.230769230769226,52,4.31748811353631,3.9512437185814275,0.3662443949548826
2020-03-24,Vermont,95,26.666666666666668,75,4.553876891600541,4.31748811353631,0.23638877806423064
2020-03-25,Vermont,123,29.47368421052631,95,4.812184355372417,4.553876891600541,0.2583074637718763
2020-03-26,Vermont,158,28.455284552845526,123,5.062595033026967,4.812184355372417,0.25041067765454983
2020-03-27,Vermont,184,16.455696202531644,158,5.214935757608986,5.062595033026967,0.15234072458201897
2020-03-28,Vermont,211,14.673913043478262,184,5.351858133476067,5.214935757608986,0.13692237586708078
2020-03-29,Vermont,235,11.374407582938389,211,5.459585514144159,5.351858133476067,0.10772738066809229
2020-03-30,Vermont,256,8.936170212765958,235,5.545177444479562,5.459585514144159,0.08559193033540335
2020-03-13,Virginia,30,76.47058823529412,17,3.4011973816621555,2.833213344056216,0.5679840376059393
2020-03-14,Virginia,42,40,30,3.7376696182833684,3.4011973816621555,0.33647223662121295
2020-03-15,Virginia,45,7.142857142857142,42,3.8066624897703196,3.7376696182833684,0.06899287148695121
2020-03-16,Virginia,51,13.333333333333334,45,3.9318256327243257,3.8066624897703196,0.1251631429540061
2020-03-17,Virginia,67,31.372549019607842,51,4.204692619390966,3.9318256327243257,0.27286698666664
2020-03-18,Virginia,78,16.417910447761194,67,4.356708826689592,4.204692619390966,0.15201620729862597
2020-03-19,Virginia,94,20.51282051282051,78,4.543294782270004,4.356708826689592,0.18658595558041213
2020-03-20,Virginia,115,22.340425531914892,94,4.74493212836325,4.543294782270004,0.20163734609324635
2020-03-21,Virginia,152,32.17391304347826,115,5.0238805208462765,4.74493212836325,0.2789483924830263
2020-03-22,Virginia,219,44.07894736842105,152,5.389071729816501,5.0238805208462765,0.3651912089702245
2020-03-23,Virginia,254,15.981735159817351,219,5.537334267018537,5.389071729816501,0.14826253720203564
2020-03-24,Virginia,291,14.566929133858267,254,5.673323267171493,5.537334267018537,0.13598900015295623
2020-03-25,Virginia,390,34.02061855670103,291,5.966146739123692,5.673323267171493,0.2928234719521994
2020-03-26,Virginia,603,54.61538461538461,390,6.401917196727186,5.966146739123692,0.43577045760349353
2020-03-27,Virginia,605,0.33167495854063017,603,6.405228458030842,6.401917196727186,0.00331126130365611
2020-03-28,Virginia,739,22.14876033057851,605,6.6052979209482015,6.405228458030842,0.2000694629173596
2020-03-29,Virginia,889,20.29769959404601,739,6.790097235513905,6.6052979209482015,0.1847993145657032
2020-03-30,Virginia,1020,14.735658042744657,889,6.927557906278317,6.790097235513905,0.13746067076441193
2020-03-03,Washington,32,39.130434782608695,23,3.4657359027997265,3.1354942159291497,0.33024168687057687
2020-03-04,Washington,47,46.875,32,3.8501476017100584,3.4657359027997265,0.3844116989103319
2020-03-05,Washington,75,59.57446808510638,47,4.31748811353631,3.8501476017100584,0.4673405118262517
2020-03-06,Washington,86,14.666666666666666,75,4.454347296253507,4.31748811353631,0.13685918271719721
2020-03-07,Washington,110,27.906976744186046,86,4.700480365792417,4.454347296253507,0.24613306953890923
2020-03-08,Washington,141,28.18181818181818,110,4.948759890378168,4.700480365792417,0.24827952458575187
2020-03-09,Washington,179,26.95035460992908,141,5.187385805840755,4.948759890378168,0.2386259154625865
2020-03-10,Washington,279,55.865921787709496,179,5.631211781821365,5.187385805840755,0.44382597598061047
2020-03-11,Washington,338,21.14695340501792,279,5.823045895483019,5.631211781821365,0.19183411366165348
